model,component,weight
old_family_top24_xsz_month_equal_signed05_u090,oldclean__core_raw,0.13310107285648184
old_family_top24_xsz_month_equal_signed05_u090,oldclean__core_xsz,-0.029721193637028586
old_family_top24_xsz_month_equal_signed05_u090,oldclean__core_xrank,0.013139396574604565
old_family_top24_xsz_month_equal_signed05_u090,oldclean__anchor_raw,-0.05
old_family_top24_xsz_month_equal_signed05_u090,oldclean__anchor_xsz,0.006400181987854844
old_family_top24_xsz_month_equal_signed05_u090,oldclean__anchor_xrank,0.03162705744865896
old_family_top24_xsz_month_equal_signed05_u090,oldclean__flgb1819_z,0.0035048686313306856
old_family_top24_xsz_month_equal_signed05_u090,oldclean__flgb2021_z,0.9
old_family_top24_xsz_month_equal_signed05_u090,oldclean__group650_z,-0.0022891359849291854
old_family_top24_xsz_month_equal_signed05_u090,oldclean__group650_xsz,-0.0022885746408738772
old_family_top24_xsz_month_equal_signed05_u090,oldclean__group650_xrank,0.02224726355578913
old_family_top24_xsz_month_equal_signed05_u090,mlp_overlap333_xsz_hl12_n1200k__pred_xsz,0.027788909975982202
old_family_top24_xsz_month_equal_signed05_u090,mlp_overlap333_xsz_hl12_n1200k__pred_xrank,-0.024851831710280905
old_family_top24_xsz_month_equal_signed05_u090,new1617_shuffle_rolling_mlp537__pred_xsz,0.00907368835349177
old_family_top24_xsz_month_equal_signed05_u090,new1617_shuffle_rolling_lgb838__pred_xrank,-0.016695717314851786
old_family_top24_xsz_month_equal_signed05_u090,new1617_shuffle_rolling_mlp537__pred_xrank,-0.00045280994614087087
old_family_top24_xsz_month_equal_signed05_u090,new1617_shuffle_rolling_lgb838__pred_xsz,0.0041119171965135655
old_family_top24_xsz_month_equal_signed05_u090,mlp_overlap333_xsz_hl12_n800k__pred_xsz,0.014899647122137436
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_top300_a05__pred_xsz,-0.0002167378161216069
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_lb18_a1__pred_xrank,0.06412519700608707
old_family_top24_xsz_month_equal_signed05_u090,mlp_overlap333_xsz_hl12_n800k__pred_xrank,0.006723279348263076
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_lb12_a1__pred_xrank,0.04627846174834362
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_top300_a05__pred_xrank,-0.03966049382804404
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_hl12_a1__pred_xrank,-0.01988836541688936
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_a1__pred_xrank,0.051602446977234664
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_a1__pred_xsz,0.06743925433601484
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_hl6_a1__pred_xrank,-0.05
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_hl12_a1__pred_xsz,-0.05
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_lb18_a1__pred_xsz,-0.049999999999999996
old_family_top24_xsz_month_equal_signed05_u090,ridge_lgbm643_xsz_a1__pred_xrank,0.008436249446782867
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_xsz_lb12_a1__pred_xsz,0.010599279594039907
old_family_top24_xsz_month_equal_signed05_u090,ridge_ridge617_ranknorm_a1__pred_xsz,0.004359635550568815
old_family_top24_xsz_month_equal_signed05_u090,ridge_union927_xsz_a2__pred_xrank,-0.05
old_family_top24_xsz_month_equal_signed05_u090,ridge_overlap333_xsz_hl12_a05__pred_xrank,-0.05
old_family_top24_xsz_month_equal_signed05_u090,ridge_overlap333_xsz_a05__pred_xrank,0.010607052584980577
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__core_raw,0.12433730169138069
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__core_xsz,-0.025429581541870597
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__core_xrank,0.012386336426858362
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__anchor_raw,-0.05
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__anchor_xsz,0.004870098765452632
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__anchor_xrank,0.024455439192961437
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__flgb1819_z,-1.4493913351083014e-05
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__flgb2021_z,0.9
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__group650_z,-0.0018157958235877519
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__group650_xsz,-0.0018152663731757696
old_family_top24_xsz_month_decay6_signed05_u090,oldclean__group650_xrank,0.018686646462789364
old_family_top24_xsz_month_decay6_signed05_u090,mlp_overlap333_xsz_hl12_n1200k__pred_xsz,0.025409667756331765
old_family_top24_xsz_month_decay6_signed05_u090,mlp_overlap333_xsz_hl12_n1200k__pred_xrank,-0.018910367934451215
old_family_top24_xsz_month_decay6_signed05_u090,new1617_shuffle_rolling_mlp537__pred_xsz,0.008842418648713145
old_family_top24_xsz_month_decay6_signed05_u090,new1617_shuffle_rolling_lgb838__pred_xrank,-0.02252956102219641
old_family_top24_xsz_month_decay6_signed05_u090,new1617_shuffle_rolling_mlp537__pred_xrank,0.003835966927802724
old_family_top24_xsz_month_decay6_signed05_u090,new1617_shuffle_rolling_lgb838__pred_xsz,0.007016396397335153
old_family_top24_xsz_month_decay6_signed05_u090,mlp_overlap333_xsz_hl12_n800k__pred_xsz,0.011245671171456773
old_family_top24_xsz_month_decay6_signed05_u090,ridge_ridge617_xsz_top300_a05__pred_xsz,0.00043292781526029005
old_family_top24_xsz_month_decay6_signed05_u090,ridge_ridge617_xsz_lb18_a1__pred_xrank,0.06889359626515842
old_family_top24_xsz_month_decay6_signed05_u090,mlp_overlap333_xsz_hl12_n800k__pred_xrank,0.010884399124307166
old_family_top24_xsz_month_decay6_signed05_u090,ridge_ridge617_xsz_lb12_a1__pred_xrank,0.05617776300498966
old_family_top24_xsz_month_decay6_signed05_u090,ridge_ridge617_xsz_top300_a05__pred_xrank,-0.029077848299950824
old_family_top24_xsz_month_decay6_signed05_u090,ridge_ridge617_xsz_hl12_a1__pred_xrank,-0.019710011308270256
old_family_top24_xsz_month_decay6_signed05_u090,ridge_ridge617_xsz_a1__pred_xrank,0.05144514628971439
old_family_top24_xsz_month_decay6_signed05_u090,ridge_ridge617_xsz_a1__pred_xsz,0.05434935352440726
