selector,selector_rank,candidate,selector_score
weak_q3_h2_plus_005q4,1,ref_time90_a0.875_then_signed_abs11_a0.8,0.10102329061168336
weak_q3_h2_plus_005q4,2,ref_time90_a0.875_then_signed_abs12_a0.8,0.10102073311999214
weak_q3_h2_plus_005q4,3,ref_time90_a1_then_signed_abs11_a0.8,0.10102042676140194
weak_q3_h2_plus_005q4,4,ref_time90_a0.875_then_signed_abs11_a0.75,0.10101978405177668
weak_q3_h2_plus_005q4,5,ref_time90_a1_then_signed_abs12_a0.8,0.10101955491988378
weak_q3_h2_plus_010q4,1,ref_time90_a0.875_then_signed_abs12_a0.8,0.10397053392373869
weak_q3_h2_plus_010q4,2,ref_time90_a0.875_then_signed_abs12_a0.75,0.10397035026771972
weak_q3_h2_plus_010q4,3,ref_time90_a0.875_then_signed_abs11_a0.75,0.10397032984177126
weak_q3_h2_plus_010q4,4,ref_time90_a0.875_then_signed_abs11_a0.7,0.10396909569442245
weak_q3_h2_plus_010q4,5,ref_time90_a0.875_then_signed_abs11_a0.8,0.10396903684496561
weak_q3_h2_plus_005q4_minus_005std,1,ref_time90_a1_then_signed_abs12_a0.8,0.1005392584430971
weak_q3_h2_plus_005q4_minus_005std,2,ref_time90_a1_then_signed_abs11_a0.8,0.10053845385115626
weak_q3_h2_plus_005q4_minus_005std,3,ref_time90_a0.875_then_signed_abs11_a0.8,0.10053680392847467
weak_q3_h2_plus_005q4_minus_005std,4,ref_time90_a0.875_then_signed_abs12_a0.8,0.10053536592919007
weak_q3_h2_plus_005q4_minus_005std,5,ref_time90_a1_then_signed_abs11_a0.75,0.10053442563101675
weak_q3_h2_plus_010q4_minus_010std,1,ref_time90_a0.875_then_signed_abs12_a0.75,0.10300003364052106
weak_q3_h2_plus_010q4_minus_010std,2,ref_time90_a0.875_then_signed_abs12_a0.8,0.10299979954213455
weak_q3_h2_plus_010q4_minus_010std,3,ref_time90_a0.875_then_signed_abs11_a0.75,0.10299797715879641
weak_q3_h2_plus_010q4_minus_010std,4,ref_time90_a0.875_then_signed_abs12_a0.7,0.10299784302352491
weak_q3_h2_plus_010q4_minus_010std,5,ref_time90_a0.875_then_signed_abs11_a0.7,0.10299727998166362
weak_q3_h2_plus_005q4_minus_002q2,1,ref_time90_a0.875_then_signed_abs11_a0.8,0.09971462041059749
weak_q3_h2_plus_005q4_minus_002q2,2,ref_time90_a1_then_signed_abs12_a0.8,0.09971432654671002
weak_q3_h2_plus_005q4_minus_002q2,3,ref_time90_a0.875_then_signed_abs12_a0.8,0.09971384031329662
weak_q3_h2_plus_005q4_minus_002q2,4,ref_time90_a1_then_signed_abs11_a0.8,0.09971298580721143
weak_q3_h2_plus_005q4_minus_002q2,5,ref_time90_a0.875_then_signed_abs11_a0.75,0.09971250446347213
weak_q3_h2_plus_010q4_minus_005q2,1,ref_time90_a0.875_then_signed_abs12_a0.7,0.10070706474488719
weak_q3_h2_plus_010q4_minus_005q2,2,ref_time90_a0.875_then_signed_abs12_a0.75,0.10070634332178587
weak_q3_h2_plus_010q4_minus_005q2,3,ref_time90_a0.875_then_signed_abs12_a0.65,0.10070545804423073
weak_q3_h2_plus_010q4_minus_005q2,4,ref_time90_a0.875_then_signed_abs11_a0.7,0.1007044070456325
weak_q3_h2_plus_010q4_minus_005q2,5,ref_time90_a0.875_then_signed_abs11_a0.65,0.10070418072057988
weak_recent_blend_45h2_35q3_20q4,1,ref_time90_a0.75_then_signed_abs12_a0.25,0.05145522897059815
weak_recent_blend_45h2_35q3_20q4,2,ref_time90_a0.75_then_signed_abs10_a0.25,0.051453767716985184
weak_recent_blend_45h2_35q3_20q4,3,ref_time90_a0.75_then_signed_abs11_a0.25,0.05145249708343485
weak_recent_blend_45h2_35q3_20q4,4,ref_time90_a0.75_then_signed_abs12_a0.3,0.051451325312363114
weak_recent_blend_45h2_35q3_20q4,5,ref_time90_a0.75_then_signed_abs10_a0.3,0.05144890500178339
weak_recent_blend_50h2_30q3_20q4,1,ref_time90_a0.75_then_signed_abs12_a0.25,0.051759362109565894
weak_recent_blend_50h2_30q3_20q4,2,ref_time90_a0.75_then_signed_abs10_a0.25,0.05175710077626273
weak_recent_blend_50h2_30q3_20q4,3,ref_time90_a0.75_then_signed_abs11_a0.25,0.05175629858124426
weak_recent_blend_50h2_30q3_20q4,4,ref_time90_a0.75_then_signed_abs12_a0.3,0.051753457520714405
weak_recent_blend_50h2_30q3_20q4,5,ref_time90_a0.75_then_signed_abs8_a0.25,0.05175044337774512
weak_min_plus_010q4,1,ref_time90_a1.125_then_signed_abs4_a0.8,0.05235276405517456
weak_min_plus_010q4,2,ref_time90_a1.125_then_signed_abs4_a0.75,0.05234042217613824
weak_min_plus_010q4,3,ref_time90_a1.125_then_signed_abs4_a0.7,0.0523252934842997
weak_min_plus_010q4,4,ref_time90_a1_then_signed_abs4_a0.8,0.0523232298181328
weak_min_plus_010q4,5,ref_time90_a1.125_then_signed_abs6_a0.8,0.05232314489621128
weak_pair_plus_010mean_minus_010std,1,ref_time90_a1_then_signed_abs8_a0.8,0.10280511531827222
weak_pair_plus_010mean_minus_010std,2,ref_time90_a1_then_signed_abs11_a0.8,0.10280341039747636
weak_pair_plus_010mean_minus_010std,3,ref_time90_a1_then_signed_abs8_a0.75,0.10280300096573633
weak_pair_plus_010mean_minus_010std,4,ref_time90_a1_then_signed_abs12_a0.8,0.10280046538207695
weak_pair_plus_010mean_minus_010std,5,ref_time90_a1_then_signed_abs6_a0.7,0.102798605745389
