datetime,n,ic,month,session_type
2019-01-02 08:59:00,36,-0.18452416360378265,2019-01,day
2019-01-02 09:00:00,39,-0.27879711985588074,2019-01,day
2019-01-02 09:01:00,39,-0.35182252526283264,2019-01,day
2019-01-02 09:02:00,40,-0.14256112277507782,2019-01,day
2019-01-02 09:03:00,40,-0.21551759541034698,2019-01,day
2019-01-02 09:04:00,40,-0.21813945472240448,2019-01,day
2019-01-02 09:05:00,40,-0.228986918926239,2019-01,day
2019-01-02 09:06:00,40,-0.2716256380081177,2019-01,day
2019-01-02 09:07:00,40,-0.21933269500732422,2019-01,day
2019-01-02 09:08:00,40,-0.12382698804140091,2019-01,day
2019-01-02 09:09:00,40,-0.06618856638669968,2019-01,day
2019-01-02 09:10:00,41,-0.06760195642709732,2019-01,day
2019-01-02 09:11:00,41,-0.1543530970811844,2019-01,day
2019-01-02 09:12:00,41,-0.1908309906721115,2019-01,day
2019-01-02 09:13:00,41,-0.14289933443069458,2019-01,day
2019-01-02 09:14:00,41,0.014819479547441006,2019-01,day
2019-01-02 09:15:00,41,-0.1605384796857834,2019-01,day
2019-01-02 09:16:00,41,-0.09650479257106781,2019-01,day
2019-01-02 09:17:00,42,-0.49431338906288147,2019-01,day
2019-01-02 09:18:00,42,-0.2387980967760086,2019-01,day
2019-01-02 09:19:00,42,-0.4000071883201599,2019-01,day
2019-01-02 09:20:00,42,-0.4579715132713318,2019-01,day
2019-01-02 09:21:00,42,-0.4669639766216278,2019-01,day
2019-01-02 09:22:00,42,-0.3104206919670105,2019-01,day
2019-01-02 09:23:00,40,-0.06968911737203598,2019-01,day
2019-01-02 09:24:00,40,0.06300804018974304,2019-01,day
2019-01-02 09:25:00,41,-0.3447957932949066,2019-01,day
2019-01-02 09:26:00,41,-0.2430950254201889,2019-01,day
2019-01-02 09:27:00,40,0.03687232360243797,2019-01,day
2019-01-02 09:28:00,41,-0.4350505769252777,2019-01,day
2019-01-02 09:29:00,41,-0.3336753249168396,2019-01,day
2019-01-02 09:30:00,40,-0.38109445571899414,2019-01,day
2019-01-02 09:31:00,39,-0.01980077102780342,2019-01,day
2019-01-02 09:32:00,39,-0.2144891768693924,2019-01,day
2019-01-02 09:33:00,39,-0.2550196349620819,2019-01,day
2019-01-02 09:34:00,40,-0.4217764437198639,2019-01,day
2019-01-02 09:35:00,40,-0.32150736451148987,2019-01,day
2019-01-02 09:36:00,39,-0.2666180431842804,2019-01,day
2019-01-02 09:37:00,39,-0.36496445536613464,2019-01,day
2019-01-02 09:38:00,39,-0.20033667981624603,2019-01,day
2019-01-02 09:39:00,39,-0.10882752388715744,2019-01,day
2019-01-02 09:40:00,40,-0.13638371229171753,2019-01,day
2019-01-02 09:41:00,39,-0.00030344148399308324,2019-01,day
2019-01-02 09:42:00,39,-0.03776588663458824,2019-01,day
2019-01-02 09:43:00,39,-0.18980075418949127,2019-01,day
2019-01-02 09:44:00,39,-0.3743678629398346,2019-01,day
2019-01-02 09:45:00,39,0.13466817140579224,2019-01,day
2019-01-02 09:46:00,39,-0.2062610685825348,2019-01,day
2019-01-02 09:47:00,39,-0.3770400285720825,2019-01,day
2019-01-02 09:48:00,39,-0.3566342890262604,2019-01,day
2019-01-02 09:49:00,39,-0.18188738822937012,2019-01,day
2019-01-02 09:50:00,39,-0.5196719765663147,2019-01,day
2019-01-02 09:51:00,39,-0.3063882887363434,2019-01,day
2019-01-02 09:52:00,39,-0.12532269954681396,2019-01,day
2019-01-02 09:53:00,40,-0.02294747158885002,2019-01,day
2019-01-02 09:54:00,40,-0.4280659854412079,2019-01,day
2019-01-02 09:55:00,40,-0.32215943932533264,2019-01,day
