datetime,n,ic,month,session_type
2019-01-02 08:59:00,36,-0.19227799227799228,2019-01,day
2019-01-02 09:29:00,41,-0.21141614207414547,2019-01,day
2019-01-02 09:59:00,40,-0.046812702335846446,2019-01,day
2019-01-02 10:44:00,39,-0.033215194131093896,2019-01,day
2019-01-02 13:44:00,40,-0.11661356731930728,2019-01,day
2019-01-02 14:14:00,40,0.5263651809695746,2019-01,day
2019-01-02 21:12:00,31,0.1717741935483871,2019-01,night
2019-01-02 21:42:00,31,0.13387096774193546,2019-01,night
2019-01-02 22:12:00,30,-0.07839255855710696,2019-01,night
2019-01-02 22:42:00,24,-0.12347826086956523,2019-01,night
2019-01-03 09:11:00,39,0.00485854547917127,2019-01,day
2019-01-03 09:41:00,38,0.1979417857330826,2019-01,day
2019-01-03 10:11:00,39,0.18007632911169494,2019-01,day
2019-01-03 10:56:00,40,0.18685454246493582,2019-01,day
2019-01-03 13:56:00,39,0.19092934183615004,2019-01,day
2019-01-03 14:26:00,39,0.12127961374321727,2019-01,day
2019-01-03 21:24:00,30,0.14304783092324805,2019-01,night
2019-01-03 21:54:00,30,0.19911012235817574,2019-01,night
2019-01-03 22:24:00,31,-0.0536506699560432,2019-01,night
2019-01-03 22:54:00,25,0.06307692307692307,2019-01,night
2019-01-04 09:22:00,41,0.11193867339334443,2019-01,day
2019-01-04 09:52:00,41,-0.05905923344947735,2019-01,day
2019-01-04 10:37:00,41,0.007752950919850316,2019-01,day
2019-01-04 13:37:00,41,0.018292682926829267,2019-01,day
2019-01-04 14:07:00,41,0.16426180648497318,2019-01,day
2019-01-04 21:05:00,31,-0.025025239784318278,2019-01,night
2019-01-04 21:35:00,31,-0.04517951154193112,2019-01,night
2019-01-04 22:05:00,30,0.10991211548711767,2019-01,night
2019-01-04 22:35:00,24,0.15217391304347827,2019-01,night
2019-01-07 09:03:00,39,0.28675540296858765,2019-01,day
2019-01-07 09:33:00,40,0.0874795638865541,2019-01,day
2019-01-07 10:03:00,40,0.11924465505898546,2019-01,day
2019-01-07 10:48:00,40,0.24976543881301383,2019-01,day
2019-01-07 13:48:00,40,-0.04429845630869053,2019-01,day
2019-01-07 14:18:00,41,0.21281414715948674,2019-01,day
2019-01-07 21:16:00,30,0.16581350407516346,2019-01,night
2019-01-07 21:46:00,30,-0.0020022246941045602,2019-01,night
2019-01-07 22:16:00,30,0.2334453963246408,2019-01,night
2019-01-07 22:46:00,24,0.4177547274069655,2019-01,night
2019-01-08 09:14:00,38,-0.2242039610460663,2019-01,day
2019-01-08 09:44:00,40,0.08688309404239324,2019-01,day
2019-01-08 10:14:00,39,0.29586517574203375,2019-01,day
2019-01-08 10:59:00,38,0.3003065919611978,2019-01,day
2019-01-08 13:59:00,40,0.36285178236397747,2019-01,day
2019-01-08 14:29:00,40,-0.13298922158774254,2019-01,day
2019-01-08 21:27:00,30,-0.003563476597014463,2019-01,night
2019-01-08 21:57:00,31,0.11079723098057044,2019-01,night
2019-01-08 22:27:00,30,0.05590203911566439,2019-01,night
2019-01-08 22:57:00,23,0.007905138339920948,2019-01,night
2019-01-09 09:26:00,40,0.05483570492438317,2019-01,day
2019-01-09 09:56:00,40,0.28555347091932454,2019-01,day
2019-01-09 10:41:00,41,0.24255097074957574,2019-01,day
2019-01-09 13:41:00,39,-0.13380566801619434,2019-01,day
2019-01-09 14:11:00,40,-0.1995307587124493,2019-01,day
2019-01-09 21:09:00,29,0.11187778588944687,2019-01,night
2019-01-09 21:39:00,29,0.04888903791834303,2019-01,night
2019-01-09 22:09:00,29,0.08575654072583153,2019-01,night
2019-01-09 22:39:00,23,-0.17786561264822134,2019-01,night
2019-01-10 09:09:00,39,0.11883415412100588,2019-01,day
2019-01-10 09:39:00,41,0.05505226480836237,2019-01,day
2019-01-10 10:09:00,42,0.17816890134159064,2019-01,day
2019-01-10 10:54:00,40,-0.18058753369475725,2019-01,day
2019-01-10 13:54:00,39,-0.11740890688259109,2019-01,day
2019-01-10 14:24:00,38,-0.30967265813270883,2019-01,day
2019-01-10 21:22:00,29,0.13251231527093596,2019-01,night
2019-01-10 21:52:00,29,-0.005421390505656015,2019-01,night
2019-01-10 22:22:00,29,-0.25037113358181734,2019-01,night
2019-01-10 22:52:00,23,-0.023227082498064437,2019-01,night
2019-01-11 09:21:00,40,-0.12232645403377111,2019-01,day
2019-01-11 09:51:00,40,0.17139640714948187,2019-01,day
2019-01-11 10:36:00,39,0.006076257656630994,2019-01,day
2019-01-11 13:36:00,41,0.261195334162079,2019-01,day
2019-01-11 14:06:00,41,-0.24098275326628107,2019-01,day
2019-01-11 21:04:00,30,0.03953129021255822,2019-01,night
2019-01-11 21:34:00,29,0.17621669556255637,2019-01,night
2019-01-11 22:04:00,29,0.09655172413793103,2019-01,night
2019-01-11 22:34:00,23,0.3204749342176771,2019-01,night
2019-01-14 09:02:00,37,-0.2031768610715979,2019-01,day
2019-01-14 09:32:00,38,0.049242217067741366,2019-01,day
2019-01-14 10:02:00,38,-0.030561963784586404,2019-01,day
2019-01-14 10:47:00,38,-0.12266112266112267,2019-01,day
2019-01-14 13:47:00,39,0.07696203518180292,2019-01,day
2019-01-14 14:17:00,40,0.11224778335846158,2019-01,day
2019-01-14 21:15:00,30,0.10126865013986494,2019-01,night
2019-01-14 21:45:00,29,0.18777725296863107,2019-01,night
2019-01-14 22:15:00,29,0.11627047754161769,2019-01,night
2019-01-14 22:45:00,23,0.40751750894346594,2019-01,night
2019-01-15 09:13:00,39,-0.05486940788716507,2019-01,day
2019-01-15 09:43:00,39,0.15319156798851497,2019-01,day
2019-01-15 10:13:00,36,-0.2375957273727487,2019-01,day
2019-01-15 10:58:00,37,-0.015529607045240092,2019-01,day
2019-01-15 13:58:00,36,0.15962925348856724,2019-01,day
2019-01-15 14:28:00,37,-0.10064607924739573,2019-01,day
2019-01-15 21:26:00,30,0.0660734149054505,2019-01,night
2019-01-15 21:56:00,30,-0.13132428612985442,2019-01,night
2019-01-15 22:26:00,30,0.40312982391902585,2019-01,night
2019-01-15 22:56:00,24,-0.10095739245668332,2019-01,night
2019-01-16 09:25:00,38,0.08217978892860836,2019-01,day
2019-01-16 09:55:00,39,0.12800001640763015,2019-01,day
2019-01-16 10:40:00,37,0.06286325384919406,2019-01,day
2019-01-16 13:40:00,38,0.19816172447751393,2019-01,day
2019-01-16 14:10:00,39,0.09109311740890688,2019-01,day
2019-01-16 21:08:00,29,0.0024630541871921183,2019-01,night
2019-01-16 21:38:00,29,0.23943835629333135,2019-01,night
2019-01-16 22:08:00,29,0.061509419681192605,2019-01,night
2019-01-16 22:38:00,22,-0.1091012568388829,2019-01,night
2019-01-17 09:07:00,37,0.0712845576667276,2019-01,day
2019-01-17 09:37:00,36,0.46537966537966535,2019-01,day
2019-01-17 10:07:00,37,-0.17920734196762508,2019-01,day
2019-01-17 10:52:00,38,0.1279413404843066,2019-01,day
2019-01-17 13:52:00,38,0.27414061475422496,2019-01,day
2019-01-17 14:22:00,38,0.1920761784003063,2019-01,day
2019-01-17 21:20:00,27,0.008547008547008546,2019-01,night
2019-01-17 21:50:00,29,0.22123524229714828,2019-01,night
2019-01-17 22:20:00,28,0.36254112775024544,2019-01,night
2019-01-17 22:50:00,23,0.3444526915138492,2019-01,night
2019-01-18 09:18:00,38,0.03479783339453723,2019-01,day
2019-01-18 09:48:00,38,0.19653115967480775,2019-01,day
2019-01-18 10:33:00,37,0.14636463254699147,2019-01,day
2019-01-18 13:33:00,39,0.44789716136110147,2019-01,day
2019-01-18 14:03:00,38,-0.1355802376598479,2019-01,day
2019-01-18 21:01:00,29,-0.02167487684729064,2019-01,night
2019-01-18 21:31:00,30,0.12926910748586107,2019-01,night
2019-01-18 22:01:00,30,0.1621802002224694,2019-01,night
2019-01-18 22:31:00,24,-0.07581717339784642,2019-01,night
2019-01-21 08:59:00,11,-0.06363636363636363,2019-01,day
2019-01-21 09:29:00,42,-0.03089774756993447,2019-01,day
2019-01-21 09:59:00,42,-0.11935823677173649,2019-01,day
2019-01-21 10:44:00,42,-0.03980220819806722,2019-01,day
2019-01-21 13:44:00,42,0.23078481441900062,2019-01,day
2019-01-21 14:14:00,42,0.41772599379856556,2019-01,day
2019-01-21 21:12:00,31,-0.14611510970843897,2019-01,night
2019-01-21 21:42:00,31,-0.1494952545564883,2019-01,night
2019-01-21 22:12:00,30,-0.08164627363737485,2019-01,night
2019-01-21 22:42:00,24,0.14782608695652175,2019-01,night
2019-01-22 09:10:00,40,-0.03302063789868668,2019-01,day
2019-01-22 09:40:00,40,0.16773769895088866,2019-01,day
2019-01-22 10:10:00,38,0.07079936542850813,2019-01,day
2019-01-22 10:55:00,38,-0.27499042553607567,2019-01,day
2019-01-22 13:55:00,39,-0.03562753036437247,2019-01,day
2019-01-22 14:25:00,39,-0.12642340215593578,2019-01,day
2019-01-22 21:23:00,30,-0.14306374546197706,2019-01,night
2019-01-22 21:53:00,30,0.059425779312843825,2019-01,night
2019-01-22 22:23:00,30,-0.11017138861369923,2019-01,night
2019-01-22 22:53:00,23,0.045454545454545456,2019-01,night
2019-01-23 09:21:00,39,0.3008706277502852,2019-01,day
2019-01-23 09:51:00,40,0.2647279549718574,2019-01,day
2019-01-23 10:36:00,38,0.14917369296844304,2019-01,day
2019-01-23 13:36:00,38,0.10657497370102129,2019-01,day
2019-01-23 14:06:00,37,0.16830746643774788,2019-01,day
2019-01-23 21:04:00,28,-0.11056376573617953,2019-01,night
2019-01-23 21:34:00,29,-0.23303362659824226,2019-01,night
2019-01-23 22:04:00,29,0.006896551724137931,2019-01,night
2019-01-23 22:34:00,23,0.10723993408680814,2019-01,night
2019-01-24 09:02:00,39,-0.16983805668016194,2019-01,day
2019-01-24 09:32:00,39,-0.1971759706963674,2019-01,day
2019-01-24 10:02:00,40,0.2709320327573638,2019-01,day
2019-01-24 10:47:00,36,-0.012613424313396194,2019-01,day
2019-01-24 13:47:00,28,0.24497057845391174,2019-01,day
2019-01-24 14:17:00,36,0.30381051470404735,2019-01,day
2019-01-24 21:15:00,28,-0.0827624783532344,2019-01,night
2019-01-24 21:45:00,27,-0.02258852258852259,2019-01,night
2019-01-24 22:15:00,28,0.17022441160372195,2019-01,night
2019-01-24 22:45:00,22,0.12651793783245385,2019-01,night
2019-01-25 09:14:00,36,-0.30432544777981696,2019-01,day
2019-01-25 09:44:00,36,0.34655512657825777,2019-01,day
2019-01-25 10:14:00,38,0.3492446330135694,2019-01,day
2019-01-25 10:59:00,38,0.30836570599310037,2019-01,day
2019-01-25 13:59:00,39,0.12506330717042977,2019-01,day
2019-01-25 14:29:00,38,-0.0989708928665413,2019-01,day
2019-01-25 21:27:00,29,0.2113586689803113,2019-01,night
2019-01-25 21:57:00,30,-0.02604051003596527,2019-01,night
2019-01-25 22:27:00,29,0.02266009852216749,2019-01,night
2019-01-25 22:57:00,21,-0.1025974025974026,2019-01,night
2019-01-28 09:25:00,37,0.09448165507676606,2019-01,day
2019-01-28 09:55:00,39,-0.0181265846020299,2019-01,day
2019-01-28 10:40:00,39,0.17041548766976336,2019-01,day
2019-01-28 13:40:00,38,0.14374865302408044,2019-01,day
2019-01-28 14:10:00,38,0.007225751027866953,2019-01,day
2019-01-28 21:08:00,30,-0.19465490911191502,2019-01,night
2019-01-28 21:38:00,30,0.5356350759887365,2019-01,night
2019-01-28 22:08:00,30,0.08477027530484177,2019-01,night
2019-01-28 22:38:00,24,0.08869565217391305,2019-01,night
2019-01-29 09:07:00,38,0.061784561878017,2019-01,day
2019-01-29 09:37:00,36,0.15953621494071596,2019-01,day
2019-01-29 10:07:00,37,0.06757157263959429,2019-01,day
