datetime,n,ic,month,session_type
2019-01-02 08:59:00,36,-0.00048232139670290053,2019-01,day
2019-01-02 09:29:00,41,-0.35164913535118103,2019-01,day
2019-01-02 09:59:00,40,-0.21060989797115326,2019-01,day
2019-01-02 10:44:00,39,0.09665431827306747,2019-01,day
2019-01-02 13:44:00,40,0.12788841128349304,2019-01,day
2019-01-02 14:14:00,40,0.5687636137008667,2019-01,day
2019-01-02 21:12:00,31,0.15256328880786896,2019-01,night
2019-01-02 21:42:00,31,0.3451157808303833,2019-01,night
2019-01-02 22:12:00,30,-0.25461331009864807,2019-01,night
2019-01-02 22:42:00,24,0.20454876124858856,2019-01,night
2019-01-03 09:11:00,39,-0.09607263654470444,2019-01,day
2019-01-03 09:41:00,38,-0.02411825582385063,2019-01,day
2019-01-03 10:11:00,39,0.19002662599086761,2019-01,day
2019-01-03 10:56:00,40,0.26180925965309143,2019-01,day
2019-01-03 13:56:00,39,0.14057734608650208,2019-01,day
2019-01-03 14:26:00,39,0.22461992502212524,2019-01,day
2019-01-03 21:24:00,30,0.10502954572439194,2019-01,night
2019-01-03 21:54:00,30,0.6110384464263916,2019-01,night
2019-01-03 22:24:00,31,-0.41550883650779724,2019-01,night
2019-01-03 22:54:00,25,-0.2824473977088928,2019-01,night
2019-01-04 09:22:00,41,-0.05263524502515793,2019-01,day
2019-01-04 09:52:00,41,-0.049385081976652145,2019-01,day
2019-01-04 10:37:00,41,-0.02314550057053566,2019-01,day
2019-01-04 13:37:00,41,0.3695428669452667,2019-01,day
2019-01-04 14:07:00,41,0.18758119642734528,2019-01,day
2019-01-04 21:05:00,31,-0.12398810684680939,2019-01,night
2019-01-04 21:35:00,31,-0.004121023695915937,2019-01,night
2019-01-04 22:05:00,30,0.25687381625175476,2019-01,night
2019-01-04 22:35:00,24,0.2884778082370758,2019-01,night
2019-01-07 09:03:00,39,0.007540671154856682,2019-01,day
2019-01-07 09:33:00,40,0.24835479259490967,2019-01,day
2019-01-07 10:03:00,40,-0.31197986006736755,2019-01,day
2019-01-07 10:48:00,40,0.3351077735424042,2019-01,day
2019-01-07 13:48:00,40,0.6894343495368958,2019-01,day
