symbol,n,ic,rank_ic
A,55845,-0.020806930300019923,0.0036533898207095146
AG,92439,0.013712540510800399,0.039366499056577936
AL,76169,0.02835297683103585,0.05778830413401983
AP,40022,-0.030499842045519088,0.005649234320972193
AU,92398,0.028751184779197442,0.033538691992352064
B,55617,0.04568767486225638,0.036245311795910645
BU,55905,0.021875414078021023,0.034907360208992315
C,55812,0.06867229691183846,0.09740795599888098
CF,55659,0.043020375020388406,0.05952712973032855
CJ,39942,0.02784795499829699,0.06695585602911643
CS,55735,0.06896481020861867,0.08262134268156601
CU,76585,0.021119334943894535,0.04583775978157551
CY,51801,0.04063361118297831,0.04802481148064539
EB,55591,0.018703617541260868,0.027497326428170637
EG,55776,0.044079969812855245,0.04998093327535194
FB,20278,0.07715928376185166,0.058610203806269155
FG,55684,0.04431974655461813,0.07188583849913988
FU,55965,0.029567804593448495,0.04429308357090185
HC,55859,0.033423279864917735,0.05302203871422473
I,55869,0.049356567401750054,0.05655717468011409
J,55745,0.02833335710555122,0.04280182226733478
JD,40209,0.04456454072293854,0.0476535424170179
JM,55679,-0.005727263502211709,0.005216322257958352
L,55698,0.04047212985992309,0.06145322608853574
M,55806,0.04763173706139636,0.04902839054540561
MA,55578,0.031270233115095386,0.052438477303584634
NI,76635,0.012752975041201885,0.024973019395330722
NR,52410,0.0392965618643011,0.03583439229219349
OI,55560,0.0019515888662910712,0.023893196535616286
P,55837,0.02687347986321708,0.038229661459127436
PB,75601,0.013690576180905387,0.029460698204987496
PG,44926,-0.016495884172884962,0.01971683409542945
PP,55765,0.008656112115314005,0.016487214650658413
RB,55874,0.026404147959601554,0.05236112234799729
RM,55593,0.03548048101457758,0.04683329203048764
RR,50979,0.07498604462549853,0.09557940962074155
RU,55783,0.03610851665628149,0.04365326311453667
SA,55258,0.06623534678234866,0.05463402212411814
SC,91277,-0.0031445342803956057,0.02260882122314671
SF,39974,-0.015878352598606038,-0.02231319493243601
SM,40005,-0.00013065725946707923,-0.0016965882282272864
SN,76070,0.027357269827372892,0.03753920249605454
SP,55729,0.06762632134963789,0.06745593585944108
SR,55592,0.03920663068145978,0.03426419546163548
SS,74453,0.053304016923613785,0.06169625178467459
TA,55544,0.06327655021725193,0.05955409871470095
UR,39971,0.06686591400013611,0.08534265333653837
V,55605,0.04990083990361771,0.06747421520840532
Y,55674,0.02006366507751817,0.03493601252433828
ZC,55492,0.006651847258252754,0.03622410353555427
ZN,76262,0.026710994806175833,0.031577823838136815
