split,train_start,train_end,test_start,test_end,train_windows,val_windows,test_windows,ic,rank_ic
2020M01,2018-01-01,2020-01-01,2020-01-01,2020-02-01,220000,40000,206469,0.0509500493064072,0.06815018238360872
2020M02,2018-01-01,2020-02-01,2020-02-01,2020-03-01,220000,40000,163452,0.020312220816763316,0.06270706939822605
2020M03,2018-01-01,2020-03-01,2020-03-01,2020-04-01,220000,40000,180119,0.02850509380065447,0.042970327921142304
2020M04,2018-01-01,2020-04-01,2020-04-01,2020-05-01,220000,40000,175830,0.04554642117011209,0.07305410646263864
2020M05,2018-01-01,2020-05-01,2020-05-01,2020-06-01,220000,40000,245850,0.06686788724931948,0.08160135064105337
2020M06,2018-01-01,2020-06-01,2020-06-01,2020-07-01,220000,40000,269027,0.039276316132666425,0.060792136954476064
2020M07,2018-01-01,2020-07-01,2020-07-01,2020-08-01,220000,40000,316667,0.029672057038496465,0.04729948629831157
2020M08,2018-01-01,2020-08-01,2020-08-01,2020-09-01,220000,40000,286473,0.0392459405834258,0.045859191364642754
2020M09,2018-01-01,2020-09-01,2020-09-01,2020-10-01,220000,40000,296947,0.05215520360300754,0.06104677202362182
2020M10,2018-01-01,2020-10-01,2020-10-01,2020-11-01,220000,40000,219635,0.0069484950669754025,0.028615723916713222
2020M11,2018-01-01,2020-11-01,2020-11-01,2020-12-01,220000,40000,287578,0.01478446273053831,0.033343943334326547
2020M12,2018-01-01,2020-12-01,2020-12-01,2021-01-01,220000,40000,291488,0.013202647332815783,0.03713382040342154
