bin,mean_return,rows
1,-0.0001776917396841246,110982
2,-0.00013876802773751947,121355
3,-0.00010665641819300567,160197
4,-0.00010371537677635689,121492
5,-9.202959470520088e-05,158167
6,-6.803206543235965e-05,136755
7,-6.37572454069641e-05,159447
8,-7.184016097587779e-05,122892
9,-5.115559822020999e-05,158734
10,-3.0123665962779588e-05,121234
11,-2.4245349765698804e-05,179295
12,-1.2044232987589372e-05,116369
13,4.11101678671495e-06,165257
14,8.036100192454386e-06,117208
15,3.0151325626106096e-05,164031
16,1.796489907490273e-05,130765
17,4.880529986485208e-05,163857
18,5.4591856126896934e-05,117958
19,8.341509328251869e-05,163594
20,0.00016989388513986004,186099
