bin,mean_return,rows
1,-0.00018257945275173545,82351
2,-0.00015653511361409038,90248
3,-0.00015976398568343656,120709
4,-0.00010983743476101615,90353
5,-9.44939362574885e-05,120266
6,-7.13831128152839e-05,104068
7,-4.086053104147581e-05,135234
8,-3.965086937726859e-05,90587
9,-3.563873764821414e-05,120378
10,-8.862067982050566e-06,90229
11,-5.93028618013092e-06,140067
12,-1.6213257738221884e-05,84664
13,-1.3688579647152747e-05,126301
14,1.6832565454764942e-05,99536
15,3.159304720370633e-06,126034
16,1.7754045152489576e-05,98284
17,3.9964300977089394e-05,126067
18,5.481447935171571e-05,85011
19,9.074629340580374e-05,125946
20,0.0001005824483203176,157332
