symbol,n,ic,rank_ic
A,41343,0.013811792986797106,0.03262624561606244
AG,74734,0.021372818045034096,0.06063420648699929
AL,60266,0.0021741116571427355,0.03086637529952583
AP,26990,-0.039847247297156614,-0.008385068457047066
AU,74717,0.025890216819256233,0.04007301407077332
B,41300,0.07212181053548547,0.06588777460115647
BU,41342,0.0189405594734565,0.02851028093280538
C,41326,0.06495582551296844,0.09266392929814728
CF,41299,0.07108625778522121,0.07589770210407608
CJ,26936,0.009395128752296892,0.051965405222553156
CS,41306,0.07340558395430259,0.0816701508055279
CU,60389,0.01314929328296048,0.02898039067960613
CY,39823,0.057045380483459855,0.05945408243125019
EB,41329,0.014750040937402578,0.020934308218770563
EG,41340,0.06039654521736805,0.047620252276941624
FB,8652,0.09009269799037366,-0.00851451574848261
FG,41299,0.07821301130740149,0.0778602199372838
FU,41357,0.04206070430907755,0.048948837929173664
HC,41333,0.0624003674710823,0.05023714000293101
I,41340,0.041471195113405954,0.036705918995055715
J,41243,0.06505736426768495,0.04504729988571403
JD,27025,0.089122729066301,0.10017451699368611
JM,41208,0.013843443970079368,-0.0010512865848340282
L,41240,0.05418522691209238,0.0608085688565418
M,41256,0.06917819748593494,0.056636403099905065
MA,41208,0.038239417134001245,0.04758127218839791
NI,60222,0.07206866200919029,0.07286323698303508
NR,40092,0.05484833637459021,0.04482529233458423
OI,41208,0.0393622403598068,0.05421732966983742
P,41258,0.04812812823986557,0.061561004903103664
PB,59818,0.010850075506736806,0.04083597821623498
PG,41261,-0.011613893681022213,0.020494840503741327
PP,41258,0.05441422644421745,0.03400191930282533
RB,41263,0.046062816621414274,0.04990357489618969
RM,41208,0.06003766578457575,0.05315824989912612
RR,39723,0.09315013554436215,0.09534966842877839
RU,41255,0.04126786319285486,0.04094302961796159
SA,41205,0.09056251888999638,0.07701189386348442
SC,74424,0.01418707299132183,0.04507772140264525
SF,26987,-0.006936485862182758,-0.02047202909001455
SM,26989,0.00565495428233763,-0.01165754760945136
SN,60131,0.04312177019942027,0.04975865851668121
SP,41233,0.05465476847020658,0.06281210512157724
SR,41208,0.06741274131739047,0.05527254332810884
SS,59744,0.05141517127112089,0.058699304718344184
TA,41208,0.08948799448128926,0.07478813948599045
UR,26989,0.024217355613297426,0.05712826415885919
V,41140,0.04812668897776009,0.04739051632122519
Y,41155,0.04320892876674249,0.06459773262799584
ZC,41117,-0.010212696334048947,0.002129860024411709
ZN,59968,0.05100117502325643,0.053811769801061844
